Company Name, CSRD, CBAM
Agenus Inc., NO, NO
Agrify Corporation, NO, NO
Agios Pharmaceuticals Inc., NO, NO
AGNC Investment Corp., NO, NO
Agilysys Inc., NO, NO
AdaptHealth Corp., NO, NO
Thunder Power Holdings Inc., NO, NO
Firefly Neuroscience Inc., NO, NO
iLearningEngines Inc., NO, NO
Aimfinity Investment Corp. I, NO, NO
Ainos Inc., NO, NO
PowerFleet Inc., NO, NO
Arteris Inc., NO, NO
reAlpha Tech Corp., NO, NO
Airgain Inc., NO, NO
Montana Technologies Corporation, NO, NO
AirSculpt Technologies Inc., NO, NO
Air T Inc., NO, NO
Airship AI Holdings Inc., NO, NO
AI TRANSPORTATION ACQUISITION CORP, NO, NO
Akamai Technologies Inc., YES, NO
Akebia Therapeutics Inc., NO, NO
Akero Therapeutics Inc., NO, NO
Akoustis Technologies Inc., NO, NO
Akoya BioSciences Inc., NO, NO
Astera Labs Inc., NO, NO
Avalon GloboCare Corp., NO, NO
Alternus Clean Energy Inc., NO, NO
Alico Inc., NO, NO
Alchemy Investments Acquisition Corp 1, NO, NO
Aldeyra Therapeutics Inc., NO, NO
Alector Inc., NO, NO
Centurion Acquisition Corp., NO, NO
Allegro MicroSystems Inc., NO, NO
Align Technology Inc., YES, NO
Aligos Therapeutics Inc., NO, NO
Allegiant Travel Company, NO, NO
Alignment Healthcare Inc., NO, NO
Alimera Sciences Inc., NO, NO
Alkami Technology Inc., NO, NO
Allakos Inc., NO, NO
Allogene Therapeutics Inc., NO, NO
Allarity Therapeutics Inc., NO, NO
Alumis Inc., NO, NO
Allient Inc., NO, NO
Alnylam Pharmaceuticals Inc., YES, NO
AstroNova Inc., NO, NO
Alpine 4 Holdings Inc., NO, NO
Alarm.com Holdings Inc., NO, NO
Aileron Therapeutics Inc., NO, NO
Alerus Financial Corporation, NO, NO
Alpha Star Acquisition Corporation, NO, NO
Altimmune Inc., NO, NO
AlTi Global Inc., NO, NO
Alto Ingredients Inc., NO, NO
Altair Engineering Inc., NO, NO
ALT5 Sigma Corporation, NO, NO
AlloVir Inc., NO, NO
ALX Oncology Holdings Inc., NO, NO
Alzamend Neuro Inc., NO, NO
Amalgamated Financial Corp., NO, NO
Applied Materials Inc., YES, YES
Ambarella Inc., NO, NO
AMC Networks Inc., YES, NO
Advanced Micro Devices Inc., YES, NO
Amedisys Inc., YES, NO
Amgen Inc., YES, YES
Autonomix Medical Inc., NO, NO
Amkor Technology Inc., YES, YES
Amylyx Pharmaceuticals Inc., NO, NO
Amplitech Group Inc., NO, NO
Amphastar Pharmaceuticals Inc., NO, NO
Amplitude Inc., NO, NO
A-Mark Precious Metals Inc., NO, NO
Amneal Pharmaceuticals Inc., NO, NO
American Superconductor Corporation, NO, NO
AMERISAFE Inc., NO, NO
Amesite Inc., NO, NO
American Software Inc., NO, NO
Aemetis Inc., NO, NO
American Woodmark Corporation, NO, NO
Amazon.com Inc., YES, YES
AnaptysBio Inc., NO, NO
Andersons Inc., NO, NO
Anebulo Pharmaceuticals Inc., NO, NO
Angi Inc., NO, NO
AngioDynamics Inc., NO, NO
Anika Therapeutics Inc., NO, NO
ANI Pharmaceuticals Inc., NO, NO
Anixa Biosciences Inc., NO, NO
Annexon Inc., NO, NO
Agriculture & Natural Solutions Acquisition Corp., NO, NO
ANSYS Inc., YES, NO
AN2 Therapeutics Inc., NO, NO
Arogo Capital Acquisition Corp., NO, NO
American Outdoor Brands Inc., NO, NO
APA Corporation, YES, YES
AppTech Payments Corp., NO, NO
Applied DNA Sciences Inc., NO, NO
American Public Education Inc., NO, NO
Apogee Therapeutics Inc., NO, NO
Applied Digital Corporation, NO, NO
Apollomics Inc., NO, NO
Apellis Pharmaceuticals Inc., NO, NO
Applied Therapeutics Inc., NO, NO
Apogee Enterprises Inc., NO, NO
Applovin Corporation, YES, NO
AppFolio Inc., NO, NO
Appian Corporation, NO, NO
Digital Turbine Inc., NO, NO
Aprea Therapeutics Inc., NO, NO
Aptevo Therapeutics Inc., NO, NO
Apyx Medical Corporation, NO, NO
AquaBounty Technologies Inc., NO, NO
Aqua Metals Inc., NO, NO
Aquestive Therapeutics Inc., NO, NO
Aquaron Acquisition Corp., NO, NO
Accuray Incorporated, NO, NO
ArcBest Corporation, NO, NO
Ares Capital Corporation, NO, NO
Ardelyx Inc., NO, NO
American Rebel Holdings Inc., NO, NO
American Resources Corporation, NO, NO
Arhaus Inc., NO, NO
ARKO Corp., NO, NO
Ark Restaurants Corp., NO, NO
Alliance Resource Partners L.P., NO, NO
Arrow Financial Corporation, NO, NO
Arq Inc., NO, NO
Arcutis Biotherapeutics Inc., NO, NO
Array Technologies Inc., NO, NO
Artelo Biosciences Inc., NO, NO
Artesian Resources Corporation, NO, NO
Artiva Biotherapeutics Inc., NO, NO
Art's-Way Manufacturing Co. Inc., NO, NO
Arvinas Inc., NO, NO
Arrowhead Pharmaceuticals Inc., NO, NO
AerSale Corporation, NO, NO
Assembly Biosciences Inc., NO, NO
Actelis Networks Inc., NO, NO
Academy Sports and Outdoors Inc., NO, NO
ASP Isotopes Inc., NO, NO
Assertio Holdings Inc., NO, NO
AmeriServ Financial Inc., NO, NO
Asset Entities Inc., NO, NO
Astrotech Corporation, NO, NO
Astec Industries Inc., NO, NO
Astrana Health Inc., NO, NO
Ascent Solar Technologies Inc., NO, NO
AST SpaceMobile Inc., NO, NO
Asure Software Inc, NO, NO
Amtech Systems Inc., NO, NO
Alphatec Holdings Inc., NO, NO
Aterian Inc., NO, NO
Anterix Inc., NO, NO
Athira Pharma Inc., NO, NO
Atlanticus Holdings Corporation, NO, NO
Ames National Corporation, NO, NO
Atlas Lithium Corporation, NO, NO
AlphaTime Acquisition Corp, NO, NO
AlphaVest Acquisition Corp., NO, NO
180 Life Sciences Corp., NO, NO
ATN International Inc., NO, NO
Atomera Incorporated, NO, NO
Atossa Therapeutics Inc., NO, NO
Atara Biotherapeutics Inc., NO, NO
AtriCure Inc., NO, NO
Astronics Corporation, NO, NO
Air Transport Services Group Inc, NO, NO
Avenue Therapeutics Inc., NO, NO
Astria Therapeutics Inc., NO, NO
aTyr Pharma Inc., NO, NO
Auburn National Bancorporation Inc., NO, NO
Augmedix Inc., NO, NO
authID Inc., NO, NO
Aurora Innovation Inc., NO, NO
Aura Biosciences Inc., NO, NO
Auddia Inc., NO, NO
Aveanna Healthcare Holdings Inc., NO, NO
AeroVironment Inc., YES, NO
ArriVent BioPharma Inc., NO, NO
AvidXchange Holdings Inc., NO, NO
Broadcom Inc., YES, YES
Avinger Inc., NO, NO
Atea Pharmaceuticals Inc., NO, NO
Aviat Networks Inc., NO, NO
Mission Produce Inc., NO, NO
AvePoint Inc., NO, NO
Avnet Inc., YES, NO
Aerovate Therapeutics Inc., NO, NO
Avalo Therapeutics Inc., NO, NO
Anavex Life Sciences Corp., NO, NO
Aspira Women's Health Inc., NO, NO
Aware Inc., NO, NO
Accelerate Diagnostics Inc., NO, NO
Axogen Inc., NO, NO
Axonics Inc., NO, NO
Axon Enterprise Inc., YES, NO
Axsome Therapeutics Inc., NO, NO
AXT Inc, NO, NO
AYRO Inc., NO, NO
Aytu BioPharma Inc., NO, NO
Aspen Technology Inc., YES, NO
Azenta Inc., NO, NO
IMAC Holdings Inc., NO, NO
Bridger Aerospace Group Holdings Inc., NO, NO
BayFirst Financial Corp., NO, NO
Bandwidth Inc., NO, NO
BancFirst Corporation, NO, NO
Banner Corporation, NO, NO
ArrowMark Financial Corp., NO, NO
Couchbase Inc., NO, NO
Atlanta Braves Holdings Inc., NO, NO
Bayview Acquisition Corp, NO, NO
Concrete Pumping Holdings Inc., NO, NO
Beasley Broadcast Group Inc., NO, NO
BridgeBio Pharma Inc., NO, NO
Bone Biologics Corp, NO, NO
Barrett Business Services Inc., NO, NO
BioAtla Inc., NO, NO
California BanCorp, NO, NO
Bicara Therapeutics Inc., NO, NO
BCB Bancorp Inc. (NJ), NO, NO
BioCardia Inc., NO, NO
Binah Capital Group Inc., NO, NO
Brainstorm Cell Therapeutics Inc., NO, NO
BayCom Corp, NO, NO
Brightcove Inc., NO, NO
1895 Bancorp of Wisconsin Inc., NO, NO
Balchem Corporation, NO, NO
BioCryst Pharmaceuticals Inc., NO, NO
Biodesix Inc., NO, NO
Black Diamond Therapeutics Inc., NO, NO
Beam Therapeutics Inc., NO, NO
Heartbeam Inc., NO, NO
Beacon Roofing Supply Inc., NO, NO
Beam Global, NO, NO
Bel Fuse Inc., NO, NO
Beneficient, NO, NO
Bank First Corporation, NO, NO
BankFinancial Corporation, NO, NO
Bullfrog AI Holdings Inc., NO, NO
Biofrontera Inc., NO, NO
Business First Bancshares Inc., NO, NO
BGC Group Inc., NO, NO
Big 5 Sporting Goods Corporation, NO, NO
Bright Green Corporation, NO, NO
Focus Impact BH3 Acquisition Company, NO, NO
Brighthouse Financial Inc., YES, NO
Benson Hill Inc., NO, NO
Burke & Herbert Financial Services Corp., NO, NO
bioAffinity Technologies Inc., NO, NO
BigCommerce Holdings Inc., NO, NO
Biogen Inc., YES, NO
Biora Therapeutics Inc., NO, NO
Allbirds Inc., NO, NO
BioVie Inc., NO, NO
Bluejay Diagnostics Inc., NO, NO
BJ's Restaurants Inc., NO, NO
Black Hawk Acquisition Corporation, NO, NO
Booking Holdings Inc., YES, NO
Baker Hughes Company, YES, YES
BIO-key International Inc., NO, NO
BlackLine Inc., YES, NO
Bellevue Life Sciences Acquisition Corp., NO, NO
Blue Bird Corporation, NO, NO
Blackboxstocks Inc., NO, NO
Blade Air Mobility Inc., NO, NO
bleuacacia ltd, NO, NO
BioLife Solutions Inc., NO, NO
Blue Foundry Bancorp, NO, NO
Bridgeline Digital Inc., NO, NO
Blackbaud Inc., YES, NO
Bloomin' Brands Inc., YES, NO
Blink Charging Co., NO, NO
Belite Bio Inc, NO, NO
bluebird bio Inc., NO, NO
Backblaze Inc., NO, NO
Bumble Inc., YES, NO
Biomea Fusion Inc., NO, NO
Biomerica Inc., NO, NO
Bank of Marin Bancorp, NO, NO
BioMarin Pharmaceutical Inc., YES, NO
Brand Engagement Network Inc., NO, NO
Bionano Genomics Inc., NO, NO
Bannix Acquisition Corp., NO, NO
Bionomics Limited, NO, NO
Benitec Biopharma Inc., NO, NO
Banzai International Inc., NO, NO
Blue Ocean Acquisition Corp, NO, NO
BranchOut Food Inc., NO, NO
BOK Financial Corporation, NO, NO
Boundless Bio Inc., NO, NO
Bolt Biotherapeutics Inc., NO, NO
DMC Global Inc., NO, NO
Bank of the James Financial Group Inc., NO, NO
Bowen Acquisition Corp, NO, NO
Boxlight Corporation, NO, NO
Blueprint Medicines Corporation, NO, NO
Popular Inc., NO, NO
Princeton Bancorp Inc., NO, NO
Bio-Path Holdings Inc., NO, NO
Barfresh Food Group Inc., NO, NO
Bridgford Foods Corporation, NO, NO
BurTech Acquisition Corp., NO, NO
Brookline Bancorp Inc., NO, NO
Bruker Corporation, YES, NO
Brilliant Earth Group Inc., NO, NO
BioRestorative Therapies Inc., NO, NO
Berry Corporation (bry), NO, NO
Braze Inc., NO, NO
Bogota Financial Corp., NO, NO
Bassett Furniture Industries Incorporated, NO, NO
Blue Star Foods Corp., NO, NO
Bolt Projects Holdings Inc., NO, NO
Sierra Bancorp, NO, NO
Bank7 Corp., NO, NO
Bentley Systems Incorporated, YES, NO
BioXcel Therapeutics Inc., NO, NO
BT Brands Inc., NO, NO
Bit Digital Inc., NO, NO
BTCS Inc., NO, NO
Bitcoin Depot Inc., NO, NO
Biote Corp., NO, NO
Armlogi Holding Corp., NO, NO
Bit Origin Limited, NO, NO
BrightSpring Health Services Inc., NO, NO
First Busey Corporation, NO, NO
BV Financial Inc., NO, NO
Bioventus Inc., NO, NO
Bridgewater Bancshares Inc., NO, NO
Broadwind Inc., NO, NO
Bankwell Financial Group Inc., NO, NO
The Baldwin Insurance Group Inc., NO, NO
Bowman Consulting Group Ltd., NO, NO
Broadway Financial Corporation, NO, NO
Beyond Meat Inc., NO, NO
Byrna Technologies Inc., NO, NO
BeyondSpring Inc., NO, NO
BuzzFeed Inc., NO, NO
Cabaletta Bio Inc., NO, NO
Camden National Corporation, NO, NO
Credit Acceptance Corporation, NO, NO
Candel Therapeutics Inc., NO, NO
The Cheesecake Factory Incorporated, YES, NO
CalciMedica Inc., NO, NO
Cal-Maine Foods Inc., NO, NO
Capricor Therapeutics Inc., NO, NO
Avis Budget Group Inc., YES, NO
Cara Therapeutics Inc., NO, NO
Carter Bankshares Inc., NO, NO
CarGurus Inc., YES, NO
Carisma Therapeutics Inc., NO, NO
Maplebear Inc., YES, NO
Carver Bancorp Inc., NO, NO
Pathward Financial Inc., NO, NO
CASI Pharmaceuticals Inc., NO, NO
Cass Information Systems Inc, NO, NO
Casey's General Stores Inc., YES, NO
Cathay General Bancorp, NO, NO
Colony Bankcorp Inc., NO, NO
CB Financial Services Inc., NO, NO
Capital Bancorp Inc., NO, NO
Chain Bridge I, NO, NO
Cracker Barrel Old Country Store Inc., YES, NO
Commerce Bancshares Inc., NO, NO
Cibus Inc., NO, NO
Crescent Capital BDC Inc., NO, NO
Coastal Financial Corporation, NO, NO
Capital City Bank Group, NO, NO
C4 Therapeutics Inc.,NO,NO
CCC Intelligent Solutions Holdings Inc.,NO,NO
Calamos Dynamic Convertible & Income Fund,NO,NO
Churchill Capital Corp IX,NO,NO
CareCloud Inc.,NO,NO
CNB Financial Corporation,NO,NO
Cogent Communications Holdings Inc.,NO,NO
Cross Country Healthcare Inc.,NO,NO
Consensus Cloud Solutions Inc.,NO,NO
Cactus Acquisition Corp. 1 Limited,NO,NO
Compass Digital Acquisition Corp.,NO,NO
Cardio Diagnostics Holdings Inc.,NO,NO
Cardlytics Inc.,NO,NO
Avid Bioservices Inc.,NO,NO
CareDx Inc.,NO,NO
Cadence Design Systems Inc.,NO,NO
Conduit Pharmaceuticals Inc.,NO,NO
Cidara Therapeutics Inc.,NO,NO
CDW Corporation,YES,NO
ChromaDex Corporation,NO,NO
Codexis Inc.,NO,NO
CADIZ Inc.,NO,NO
CEA Industries Inc.,NO,NO
CECO Environmental Corp.,NO,NO
Constellation Energy Corporation,NO,NO
Celcuity Inc.,NO,NO
Celsius Holdings Inc.,NO,NO
Celularity Inc.,NO,NO
Creative Medical Technology Holdings Inc.,NO,NO
Central Garden & Pet Company,NO,NO
Century Aluminum Company,YES,YES
Cantor Equity Partners Inc.,NO,NO
CERo Therapeutics Holdings Inc.,NO,NO
Cerus Corporation,NO,NO
Certara Inc.,NO,NO
Cemtrex Inc.,NO,NO
Clean Energy Technologies Inc.,NO,NO
CEVA Inc.,NO,NO
CrossFirst Bankshares Inc.,NO,NO
CF Bankshares Inc.,NO,NO
C&F Financial Corporation,NO,NO
Capitol Federal Financial Inc.,NO,NO
CF Acquisition Corp. VII,NO,NO
Confluent Inc.,NO,NO
CFSB Bancorp Inc.,NO,NO
The Carlyle Group Inc.,NO,NO
Carlyle Secured Lending Inc.,NO,NO
Cullinan Therapeutics Inc.,NO,NO
Cognex Corporation,NO,NO
Calamos Global Total Return Fund,NO,NO
CG Oncology Inc.,NO,NO
Cognition Therapeutics Inc.,NO,NO
Comstock Holding Companies Inc.,NO,NO
City Holding Company,NO,NO
Churchill Downs Incorporated,NO,NO
The Chefs' Warehouse Inc.,NO,NO
Chesapeake Energy Corporation,NO,NO
Chemung Financial Corp,NO,NO
Chord Energy Corporation,NO,NO
Coherus BioSciences Inc.,NO,NO
C.H. Robinson Worldwide Inc.,NO,NO
CHS Inc,NO,NO
Charter Communications Inc.,NO,NO
Chuy's Holdings Inc.,NO,NO
Calamos Global Dynamic Income Fund,NO,NO
ChampionX Corporation,NO,NO
Cipher Mining Inc.,NO,NO
Cincinnati Financial Corporation,NO,NO
Cingulate Inc.,NO,NO
CISO Global Inc.,NO,NO
Cartica Acquisition Corp,NO,NO
Civista Bancshares Inc.,NO,NO
Checkpoint Therapeutics Inc.,NO,NO
Clarus Corporation,NO,NO
Columbia Financial Inc.,NO,NO
Celldex Therapeutics Inc.,NO,NO
Clearfield Inc.,NO,NO
ClearSign Technologies Corporation,NO,NO
Climb Global Solutions Inc.,NO,NO
Calumet Inc.,NO,NO
Clean Energy Fuels Corp.,NO,NO
Clene Inc.,NO,NO
Clover Health Investments Corp.,NO,NO
ClearPoint Neuro Inc.,NO,NO
Cellectar Biosciences Inc.,NO,NO
ClearOne Inc.,NO,NO
Clearside Biomedical Inc.,NO,NO
CleanSpark Inc.,NO,NO
Catalyst Bancorp Inc.,NO,NO
CareMax Inc.,NO,NO
Columbus McKinnon Corporation,NO,NO
Comcast Corporation,YES,NO
Creative Media & Community Trust Corporation,NO,NO
CME Group Inc.,NO,NO
Cumulus Media Inc.,NO,NO
CompoSecure Inc.,NO,NO
Compass Therapeutics Inc.,NO,NO
Chimerix Inc.,NO,NO
Comtech Telecommunications Corp.,NO,NO
Conduent Incorporated,NO,NO
Conifer Holdings Inc.,NO,NO
ConnectOne Bancorp Inc.,NO,NO
Consolidated Communications Holdings Inc.,NO,NO
CNS Pharmaceuticals Inc.,NO,NO
ConnectM Technology Solutions Inc.,NO,NO
Context Therapeutics Inc.,NO,NO
Century Casinos Inc.,NO,NO
Cineverse Corp.,NO,NO
Concentrix Corporation,NO,NO
PC Connection Inc.,NO,NO
Envoy Medical Inc.,NO,NO
The Vita Coco Company Inc.,NO,NO
Cocrystal Pharma Inc.,NO,NO
Coda Octopus Group Inc.,NO,NO
Co-Diagnostics Inc.,NO,NO
Coeptis Therapeutics Holdings Inc.,NO,NO
ChoiceOne Financial Services Inc.,NO,NO
Cogent Biosciences Inc.,NO,NO
Cohu Inc.,NO,NO
Coinbase Global Inc.,NO,NO
Coca-Cola Consolidated Inc.,NO,NO
Columbia Banking System Inc.,NO,NO
Collegium Pharmaceutical Inc.,NO,NO
Columbia Sportswear Company,NO,NO
CommScope Holding Company Inc.,NO,NO
The Cooper Companies Inc.,NO,NO
Mr. Cooper Group Inc.,NO,NO
Corcept Therapeutics Incorporated,NO,NO
Core Scientific Inc.,NO,NO
Cosmos Health Inc.,NO,NO
Costco Wholesale Corporation,YES,NO
Coya Therapeutics Inc.,NO,NO
Campbell Soup Company,YES,NO
Central Plains Bancshares Inc.,NO,NO
Canterbury Park Holding Corporation,NO,NO
Cumberland Pharmaceuticals Inc.,NO,NO
Copart Inc.,NO,NO
Catalyst Pharmaceuticals Inc.,NO,NO
CPS Technologies Corp.,NO,NO
Consumer Portfolio Services Inc.,NO,NO
Cepton Inc.,NO,NO
Calamos Long/Short Equity & Dynamic Income Trust,NO,NO
CRA International Inc.,NO,NO
Corbus Pharmaceuticals Holdings Inc.,NO,NO
Caribou Biosciences Inc.,NO,NO
Cricut Inc.,NO,NO
Cardiff Oncology Inc.,NO,NO
Credo Technology Group Holding Ltd,NO,NO
Creative Realities Inc.,NO,NO
CARGO Therapeutics Inc.,NO,NO
Curis Inc.,NO,NO
Crown Electrokinetics Corp.,NO,NO
CorMedix Inc.,NO,NO
America's Car-Mart Inc,NO,NO
Cerence Inc.,NO,NO
Crinetics Pharmaceuticals Inc.,NO,NO
Crocs Inc.,NO,NO
Corsair Gaming Inc.,NO,NO
Cirrus Logic Inc.,NO,NO
CorVel Corp.,NO,NO
CervoMed Inc.,NO,NO
Corvus Pharmaceuticals Inc.,NO,NO
CrowdStrike Holdings Inc.,NO,NO
Crown Crafts Inc,NO,NO
Champions Oncology Inc.,NO,NO
Cisco Systems Inc.,YES,NO
CoStar Group Inc.,NO,NO
CSG Systems International Inc.,NO,NO
CSLM Acquisition Corp.,NO,NO
Complete Solaria Inc.,NO,NO
CSP Inc.,NO,NO
Calamos Strategic Total Return,NO,NO
Castle Biosciences Inc.,NO,NO
Capital Southwest Corporation,NO,NO
CSW Industrials Inc.,NO,NO
CSX Corporation,NO,NO
Cintas Corporation,NO,NO
Community Trust Bancorp Inc.,NO,NO
Carmell Corporation,NO,NO
Charles & Colvard Ltd,NO,NO
Cytek Biosciences Inc.,NO,NO
Cantaloupe Inc.,NO,NO
CytomX Therapeutics Inc.,NO,NO
Contineum Therapeutics Inc.,NO,NO
Cheetah Net Supply Chain Service Inc.,NO,NO
Citius Oncology Inc.,NO,NO
Citi Trends Inc.,NO,NO
Cognizant Technology Solutions Corporation,YES,NO
Cytosorbents Corporation,NO,NO
Citius Pharmaceuticals Inc.,NO,NO
Lionheart Holdings,NO,NO
Herzfeld Caribbean Basin Fund Inc.,NO,NO
Cue Biopharma Inc.,NO,NO
CuriosityStream Inc.,NO,NO
Cutera Inc.,NO,NO
CVB Financial Corporation,NO,NO
Cavco Industries Inc.,NO,NO
Commercial Vehicle Group Inc.,NO,NO
Calavo Growers Inc.,NO,NO
Cadrenal Therapeutics Inc.,NO,NO
Commvault Systems Inc.,NO,NO
CVRx Inc.,NO,NO
CVD Equipment Corporation,NO,NO
Community West Bancshares,NO,NO
CaliberCos Inc.,NO,NO
Casella Waste Systems Inc.,NO,NO
CXApp Inc.,NO,NO
Crexendo Inc.,NO,NO
Cyclacel Pharmaceuticals Inc.,NO,NO
Cyclerion Therapeutics Inc.,NO,NO
Cyngn Inc.,NO,NO
CryoPort Inc.,NO,NO
Cyclo Therapeutics Inc.,NO,NO
Cytokinetics Incorporated,NO,NO
Citizens Financial Services Inc.,NO,NO
Citizens & Northern Corp,NO,NO
Caesars Entertainment Inc.,NO,NO
Citizens Community Bancorp Inc.,NO,NO
Data I/O Corporation,NO,NO
Daktronics Inc.,NO,NO
DallasNews Corporation,NO,NO
Dare Bioscience Inc.,NO,NO
DoorDash Inc.,NO,NO
DatChat Inc.,NO,NO
Dave Inc.,NO,NO
Day One Biopharmaceuticals Inc.,NO,NO
Digital Brands Group Inc.,NO,NO
Dropbox Inc.,NO,NO
DocGo Inc.,NO,NO
Dime Community Bancshares Inc.,NO,NO
Delcath Systems Inc.,NO,NO
Datadog Inc.,NO,NO
Denali Capital Acquisition Corp.,NO,NO
Denny's Corporation,NO,NO
Journey Medical Corporation,NO,NO
Dragonfly Energy Holdings Corp.,NO,NO
Donegal Group Inc.,NO,NO
Digi International Inc.,NO,NO
Digital Ally Inc.,NO,NO
Definitive Healthcare Corp.,NO,NO
DIH Holdings US Inc.,NO,NO
Diversified Healthcare Trust,NO,NO
Diamond Hill Investment Group Inc.,NO,NO
1stdibs.com Inc.,NO,NO
Diodes Incorporated,NO,NO
Daily Journal Corp.,NO,NO
Trump Media & Technology Group Corp.,NO,NO
DraftKings Inc.,NO,NO
DLH Holdings Corp.,NO,NO
Dolphin Entertainment Inc.,NO,NO
Duluth Holdings Inc.,NO,NO
Dollar Tree Inc.,NO,NO
DiaMedica Therapeutics Inc.,NO,NO
Dorchester Minerals L.P.,NO,NO
Digimarc Corporation,NO,NO
Denali Therapeutics Inc.,NO,NO
Dianthus Therapeutics Inc.,NO,NO
Krispy Kreme Inc.,NO,NO
DocuSign Inc.,NO,NO
Dominari Holdings Inc.,NO,NO
Domo Inc.,NO,NO
Dorman Products Inc.,NO,NO
DP Cap Acquisition Corp I,NO,NO
Direct Digital Holdings Inc.,NO,NO
Dermata Therapeutics Inc.,NO,NO
DURECT Corporation,NO,NO
Driven Brands Holdings Inc.,NO,NO
Design Therapeutics Inc.,NO,NO
Distribution Solutions Group Inc.,NO,NO
Viant Technology Inc.,NO,NO
Drilling Tools International Corporation,NO,NO
Precision BioSciences Inc.,NO,NO
DT Cloud Star Acquisition Corporation,NO,NO
Data Storage Corporation,NO,NO
Duolingo Inc.,NO,NO
Duos Technologies Group Inc.,NO,NO
Dynavax Technologies Corporation,NO,NO
Dawson Geophysical Company,NO,NO
DexCom Inc.,NO,NO
Destination XL Group Inc.,NO,NO
DXP Enterprises Inc.,NO,NO
Daxor Corporation,NO,NO
Dixie Group Inc.,NO,NO
Dyadic International Inc.,NO,NO
Dyne Therapeutics Inc.,NO,NO
Electronic Arts Inc.,NO,NO
Eastside Distilling Inc.,NO,NO
eBay Inc.,YES,NO
Eastern Bankshares Inc.,NO,NO
Eagle Bancorp Montana Inc.,NO,NO
Enterprise Bancorp Inc,NO,NO
ECB Bancorp Inc.,NO,NO
ECD Automotive Design Inc.,NO,NO
electroCore Inc.,NO,NO
Encore Capital Group,NO,NO
Edible Garden AG Incorporated,NO,NO
Editas Medicine Inc.,NO,NO
Edesa Biotech Inc.,NO,NO
Educational Development Corporation,NO,NO
Euronet Worldwide Inc.,NO,NO
EpicQuest Education Group International Limited,NO,NO
Energy Focus Inc.,NO,NO
Enterprise Financial Services Corporation,NO,NO
eGain Corporation,NO,NO
Eagle Bancorp Inc.,NO,NO
8x8 Inc,NO,NO
Edgio Inc.,NO,NO
Eagle Pharmaceuticals Inc.,NO,NO
eHealth Inc.,NO,NO
Ekso Bionics Holdings Inc.,NO,NO
Elevai Labs Inc.,NO,NO
Eledon Pharmaceuticals Inc.,NO,NO
Elevation Oncology Inc.,NO,NO
Electro-Sensors Inc.,NO,NO
Elicio Therapeutics Inc.,NO,NO
Elutia Inc.,NO,NO
Enliven Therapeutics Inc.,NO,NO
Eliem Therapeutics Inc,NO,NO
Embecta Corp.,NO,NO
Embrace Change Acquisition Corp,NO,NO
EMCORE Corporation,NO,NO
Eastern Company (The),NO,NO
ENGlobal Corporation,NO,NO
Enphase Energy Inc.,YES,YES
